module name,license,repository,modified
is@3.2.1,MIT,https://github.com/enricomarino/is,no
isarray@0.0.1,MIT,https://github.com/juliangruber/isarray,no
isarray@1.0.0,MIT,https://github.com/juliangruber/isarray,no
isexe@2.0.0,ISC,https://github.com/isaacs/isexe,no
isobject@2.1.0,MIT,https://github.com/jonschlinkert/isobject,no
isobject@3.0.1,MIT,https://github.com/jonschlinkert/isobject,no
isstream@0.1.2,MIT,https://github.com/rvagg/isstream,no
jade@0.26.3,MIT*,https://github.com/visionmedia/jade,no
jodid25519@1.0.2,MIT,https://github.com/meganz/jodid25519,no
jquery-ui-form-builder@1.0.0,MIT,https://github.com/mirko77/jquery-ui-form-builder,no
js-base64@2.4.1,BSD-3-Clause,https://github.com/dankogai/js-base64,no
jsbn@0.1.1,MIT,https://github.com/andyperlitch/jsbn,no
json-schema-traverse@0.3.1,MIT,https://github.com/epoberezkin/json-schema-traverse,no
