"module name","licenses","repository","licenseUrl","parents"
"arr-flatten@1.1.0","MIT","https://github.com/jonschlinkert/arr-flatten","https://github.com/jonschlinkert/arr-flatten/raw/master/LICENSE","jquery-ui-form-builder"
"arr-union@3.1.0","MIT","https://github.com/jonschlinkert/arr-union","https://github.com/jonschlinkert/arr-union/raw/master/LICENSE","jquery-ui-form-builder"
"array-differ@1.0.0","MIT","https://github.com/sindresorhus/array-differ","https://github.com/sindresorhus/array-differ","jquery-ui-form-builder"
"array-each@1.0.1","MIT","https://github.com/jonschlinkert/array-each","https://github.com/jonschlinkert/array-each/raw/master/LICENSE","jquery-ui-form-builder"
"array-filter@0.0.1","MIT","https://github.com/juliangruber/array-filter","https://github.com/juliangruber/array-filter","jquery-ui-form-builder"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index","https://github.com/sindresorhus/array-find-index/raw/master/license","jquery-ui-form-builder"
"array-map@0.0.0","MIT","https://github.com/substack/array-map","https://github.com/substack/array-map/raw/master/LICENSE","jquery-ui-form-builder"
"array-reduce@0.0.0","MIT","https://github.com/substack/array-reduce","https://github.com/substack/array-reduce/raw/master/LICENSE","jquery-ui-form-builder"
"array-slice@1.1.0","MIT","https://github.com/jonschlinkert/array-slice","https://github.com/jonschlinkert/array-slice/raw/master/LICENSE","jquery-ui-form-builder"
"array-union@1.0.2","MIT","https://github.com/sindresorhus/array-union","https://github.com/sindresorhus/array-union/raw/master/license","jquery-ui-form-builder"
"array-uniq@1.0.3","MIT","https://github.com/sindresorhus/array-uniq","https://github.com/sindresorhus/array-uniq/raw/master/license","jquery-ui-form-builder"
"array-unique@0.2.1","MIT","https://github.com/jonschlinkert/array-unique","https://github.com/jonschlinkert/array-unique/blob/master/LICENSE","anymatch:jquery-ui-form-builder"
"array-unique@0.3.2","MIT","https://github.com/jonschlinkert/array-unique","https://github.com/jonschlinkert/array-unique/raw/master/LICENSE","jquery-ui-form-builder"
"asn1.js@4.9.2","MIT","https://github.com/indutny/asn1.js","https://github.com/indutny/asn1.js","jquery-ui-form-builder"
"asn1@0.2.3","MIT","https://github.com/mcavage/node-asn1","https://github.com/mcavage/node-asn1/raw/master/LICENSE","jquery-ui-form-builder"
"assert-plus@0.2.0","MIT","https://github.com/mcavage/node-assert-plus","https://github.com/mcavage/node-assert-plus","fsevents:jquery-ui-form-builder"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus","https://github.com/mcavage/node-assert-plus","jquery-ui-form-builder"
"assert@1.3.0","MIT","https://github.com/defunctzombie/commonjs-assert","https://github.com/defunctzombie/commonjs-assert/raw/master/LICENSE","jquery-ui-form-builder"
"assert@1.4.1","MIT","https://github.com/defunctzombie/commonjs-assert","https://github.com/defunctzombie/commonjs-assert/raw/master/LICENSE","watchify:jquery-ui-form-builder"
"assertion-error@1.1.0","MIT","https://github.com/chaijs/assertion-error","https://github.com/chaijs/assertion-error","jquery-ui-form-builder"
"assign-symbols@1.0.0","MIT","https://github.com/jonschlinkert/assign-symbols","https://github.com/jonschlinkert/assign-symbols/raw/master/LICENSE","jquery-ui-form-builder"
"astw@2.2.0","MIT","https://github.com/substack/astw","https://github.com/substack/astw/raw/master/LICENSE","jquery-ui-form-builder"
"async-each@1.0.1","MIT","https://github.com/paulmillr/async-each","https://github.com/paulmillr/async-each","jquery-ui-form-builder"
"async-foreach@0.1.3","MIT*","https://github.com/cowboy/javascript-sync-async-foreach","https://github.com/cowboy/javascript-sync-async-foreach/raw/master/LICENSE-MIT","jquery-ui-form-builder"
"async@0.2.10","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","uglify-js:jquery-ui-form-builder"
"async@1.5.2","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","jquery-ui-form-builder"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit","https://github.com/alexindigo/asynckit/raw/master/LICENSE","jquery-ui-form-builder"
"atob@1.1.3","(MIT OR Apache-2.0)","https://github.com/coolaj86/node-browser-compat","https://github.com/coolaj86/node-browser-compat/raw/master/LICENSE","css:jquery-ui-form-builder"
"atob@2.0.3","(MIT OR Apache-2.0)","https://github.com/coolaj86/node-browser-compat/atob","https://github.com/coolaj86/node-browser-compat/atob/raw/master/LICENSE","jquery-ui-form-builder"
